,AMIHUD,HL_RANGE,ROLL_SPREAD,ZERO_RATIO,NEAR_ZERO,FHT,PASTOR,AMIVEST,LOT,VOLUME_ILLIQ,TURNOVER_ILLIQ,CV_TURNOVER,DOLLAR_ILLIQ
AMIHUD,1.0,0.07663285704781814,-0.0072082060962886255,0.018173750086717344,0.015301538603220035,0.01696667885772586,-0.011952771689382089,0.36738920106439943,0.00021662109037003642,0.32201513390830117,0.5345582218017267,0.06912962234375164,0.8515200101633134
HL_RANGE,0.07663285704781814,1.0,-0.06041361714780893,0.14294317679675805,0.10498314628309605,0.2327502700081903,0.069360326622989,0.24091616461239962,-0.0718284260181432,0.05648765606025466,0.13821608309599914,0.18374585275099717,0.09425631847591033
ROLL_SPREAD,-0.0072082060962886255,-0.06041361714780893,1.0,-0.03465359523116622,-0.013392834159214913,0.005695568370336927,0.0015440862979592513,-0.0421322648096155,0.0135536804223974,0.042729563899129734,-0.03027875385491958,-0.017784090035690814,0.004109238358322699
ZERO_RATIO,0.018173750086717344,0.14294317679675805,-0.03465359523116622,1.0,0.9567909666594338,0.8665768603631625,-0.011261974967435197,0.08557181288595965,0.6961093901197314,-0.0005349775030613468,0.06792366934792383,0.00030272242483223564,0.01215638603578264
NEAR_ZERO,0.015301538603220035,0.10498314628309605,-0.013392834159214913,0.9567909666594338,1.0,0.830578448798821,-0.014998789014137684,0.0737393582901138,0.7417679562629641,0.008928722672696046,0.05975925219609886,0.0006885682245736364,0.01065484254905653
FHT,0.01696667885772586,0.2327502700081903,0.005695568370336927,0.8665768603631625,0.830578448798821,1.0,-0.006212409169211451,0.06214820756166857,0.602863605874915,-0.004457533471619186,0.041531271859511165,-0.009032769232251226,0.012248885083316957
PASTOR,-0.011952771689382089,0.069360326622989,0.0015440862979592513,-0.011261974967435197,-0.014998789014137684,-0.006212409169211451,1.0,-0.005776119105838022,-0.027632737677717914,-0.016080580725445246,-0.008709114775600352,0.056621980126360306,-0.014884232741365884
AMIVEST,0.36738920106439943,0.24091616461239962,-0.0421322648096155,0.08557181288595965,0.0737393582901138,0.06214820756166857,-0.005776119105838022,1.0,0.01872811095323853,0.5995285214877772,0.8318162939599314,0.1462296241416136,0.4436335316774138
LOT,0.00021662109037003642,-0.0718284260181432,0.0135536804223974,0.6961093901197314,0.7417679562629641,0.602863605874915,-0.027632737677717914,0.01872811095323853,1.0,0.027189042583016243,0.02316806217720197,0.0121494449052519,-0.0010573314883200614
VOLUME_ILLIQ,0.32201513390830117,0.05648765606025466,0.042729563899129734,-0.0005349775030613468,0.008928722672696046,-0.004457533471619186,-0.016080580725445246,0.5995285214877772,0.027189042583016243,1.0,0.6682018856474276,0.1408270035816438,0.5340466190424942
TURNOVER_ILLIQ,0.5345582218017267,0.13821608309599914,-0.03027875385491958,0.06792366934792383,0.05975925219609886,0.041531271859511165,-0.008709114775600352,0.8318162939599314,0.02316806217720197,0.6682018856474276,1.0,0.10807560708961603,0.5823857230661458
CV_TURNOVER,0.06912962234375164,0.18374585275099717,-0.017784090035690814,0.00030272242483223564,0.0006885682245736364,-0.009032769232251226,0.056621980126360306,0.1462296241416136,0.0121494449052519,0.1408270035816438,0.10807560708961603,1.0,0.11160443391952594
DOLLAR_ILLIQ,0.8515200101633134,0.09425631847591033,0.004109238358322699,0.01215638603578264,0.01065484254905653,0.012248885083316957,-0.014884232741365884,0.4436335316774138,-0.0010573314883200614,0.5340466190424942,0.5823857230661458,0.11160443391952594,1.0
