DATE,Market_Liquidity_Index
2011-06-01,-1.3039984311800599
2011-06-02,-1.400764499379262
2011-06-03,-1.397904990890634
2011-06-06,-1.7990274840719667
2011-06-07,-1.4810683936134736
2011-06-08,-1.3771004318133437
2011-06-09,-1.4608588363742567
2011-06-10,-1.5704612690744684
2011-06-13,-1.5455002818825132
2011-06-14,-1.2916344895377416
2011-06-15,-1.457286573033881
2011-06-16,-1.3244438551412236
2011-06-17,-1.3873074843985957
2011-06-20,-1.537652151904093
2011-06-21,-1.5581781056040074
2011-06-22,-1.6787168310162577
2011-06-23,-1.5246770784608383
2011-06-24,-1.5820549328986435
2011-06-27,-1.4043127541750604
2011-06-28,-1.3544828116006509
2011-06-29,-1.0975918669251765
2011-06-30,-0.9937161371907958
2011-07-01,-1.2387320024270552
2011-07-04,-1.3214240911830297
2011-07-05,-1.0934791204445786
2011-07-06,-1.1829811507585482
2011-07-07,-0.9167749557363359
2011-07-08,-1.1655384866944882
2011-07-11,-1.4847402985456022
2011-07-12,-1.4026375443684216
2011-07-13,-1.4242532530282164
2011-07-14,-1.118271709881582
2011-07-15,-1.434128089461789
2011-07-18,-1.3638080725167383
2011-07-19,-1.1367760797011885
2011-07-20,-1.2185832564932544
2011-07-21,-1.3095277164288994
2011-07-22,-1.1476184150041446
2011-07-25,-1.1661169813105277
2011-07-26,-1.1818375099751242
2011-07-27,-1.076751998151689
2011-07-28,-0.9671927791095192
2011-07-29,-1.0906744562546467
2011-08-01,-1.3976824833834014
2011-08-02,-1.4853829945704504
2011-08-03,-1.3670647917698595
2011-08-04,-1.295769306752341
2011-08-05,-1.3190444173786096
2011-08-08,-1.458896512144396
2011-08-09,-1.3574971768738364
2011-08-10,-1.6065542236142807
2011-08-11,-1.5780031973461404
2011-08-12,-1.6048721288490697
2011-08-16,-1.8199420195060103
2011-08-17,-1.563702979884724
2011-08-18,-1.7747211401172887
2011-08-19,-1.5146213066821195
2011-08-22,-2.00799965231502
2011-08-23,-1.7976572069045889
2011-08-24,-1.7353891132057624
2011-08-25,-1.596563559718583
2011-08-26,-1.977600265307062
2011-08-29,-1.9927118138287665
2011-08-30,-1.614067044013053
2011-09-02,-1.674721399358881
2011-09-05,-1.718723675632917
2011-09-06,-1.3385563239327738
2011-09-07,-1.410105451921559
2011-09-08,-1.6514830807030467
2011-09-09,-1.6540266134130939
2011-09-12,-2.263054940742428
2011-09-13,-1.8148919547884255
2011-09-14,-1.925865684355518
2011-09-15,-1.7704549129796119
2011-09-16,-1.5162509281690635
2011-09-19,-1.7770013416830335
2011-09-20,-1.6094112708483568
2011-09-21,-1.4882922566174073
2011-09-22,-1.8898649914945564
2011-09-23,-1.669016479502972
2011-09-26,-2.0205172928662596
2011-09-27,-1.9078506421501207
2011-09-28,-2.1959139653834696
2011-09-29,-1.7627082242131455
2011-09-30,-2.0774818156367894
2011-10-03,-2.332309193174883
2011-10-04,-2.02728240015307
2011-10-05,-2.228865944948005
2011-10-07,-2.1340137772853294
2011-10-10,-1.9732127571154325
2011-10-11,-1.7323153650670844
2011-10-12,-1.6949664756126719
2011-10-13,-1.7233949806855846
2011-10-14,-2.108298465307906
2011-10-17,-1.9608278081828097
2011-10-18,-1.9735250202492887
2011-10-19,-1.697943466409522
2011-10-20,-2.1307791595553613
2011-10-21,-1.863024433923744
2011-10-24,-1.987711166191611
2011-10-25,-1.6937490262741246
2011-10-26,-3.593013493942293
2011-10-28,-1.5457377906310197
2011-10-31,-1.5903443355040527
2011-11-01,-1.8439548631953375
2011-11-02,-1.789290358643109
2011-11-03,-1.788827403215844
2011-11-04,-1.5322724017373486
2011-11-08,-1.819548952612873
2011-11-09,-1.8646551922601953
2011-11-11,-1.872563073420719
2011-11-14,-2.0071758818885432
2011-11-15,-2.2408645610605435
2011-11-16,-1.7264586523666017
2011-11-17,-1.8904487775575354
2011-11-18,-1.9828104233794521
2011-11-21,-2.1353454154473104
2011-11-22,-2.1102573919447445
2011-11-23,-2.0573895399212914
