Proxy,Full Name,Formula,Description,Required Columns,Computation Level,Aggregation,Direction,Units,Dimension,Priority,Reference,Implementation Notes
AMIHUD,Amihud (2002) Illiquidity Ratio,AMIHUD = |Return| / (Value / 10^6),Price impact per million rupees of trading volume,"DAILY_RETURN, VALUE",daily,mean,illiquidity,basis points per million rupees,price_impact,3,"Amihud, Y. (2002). Illiquidity and stock returns. Journal of Financial Markets, 5(1), 31-56.",Use absolute return. Scale Value by 1e6 to avoid numerical issues.
HL_RANGE,High-Low Range (Normalized Daily Range),HL_RANGE = 2 * (High - Low) / (High + Low),Normalized intraday price range as volatility/price uncertainty proxy,"HIGH, LOW",daily,mean,illiquidity,fraction (0 to 1),range_volatility,3,Parkinson (1980) range-based volatility estimator; NOT a spread estimator,"CRITICAL: This is a RANGE/VOLATILITY proxy, NOT a spread estimator.         It measures intraday price uncertainty/volatility, not transaction costs.                  True spread estimators (like Corwin-Schultz 2012) use 2-day high/low ratios:             β = Σ[log(H_t/L_t)^2] over 2 days             α = (√(2β) - √β) / (3 - 2√2) - √(β / (3 - 2√2))             spread = 2*(e^α - 1) / (1 + e^α)                  We use simplified normalized range: 2*(H-L)/(H+L)         This captures price volatility/information flow, not bid-ask spreads.         Classify as 'range_volatility' dimension, NOT 'spread_cost'."
ROLL_SPREAD,Roll (1984) Effective Spread,"ROLL = 2 * sqrt(-Cov(ΔP_t, ΔP_t-1))",Effective bid-ask spread from serial covariance of price changes,CLOSE,monthly,,illiquidity,rupees,spread_cost,2,"Roll, R. (1984). A simple implicit measure of the effective bid‐ask spread. Journal of Finance, 39(4), 1127-1139.",Set to 0 if covariance is positive (no bid-ask bounce). Requires ≥10 observations.
ZERO_RATIO,Zero Return Ratio,ZERO_RATIO = (# days with Return = 0) / (# trading days),Proportion of trading days with exactly zero returns,"DAILY_RETURN, IS_TRADING_DAY",monthly,,illiquidity,proportion (0 to 1),speed_stickiness,3,"Lesmond, D., Ogden, J., & Trzcinka, C. (1999). A new estimate of transaction costs. Review of Financial Studies, 12(5), 1113-1141.",Count EXACT zeros only. Denominator = trading days with valid returns.
NEAR_ZERO,Near-Zero Return Ratio (Tick-Size Robust),NEAR_ZERO = (# days with |Return| ≤ 1bp) / (# trading days),Proportion of days with negligible price movement (≤1 basis point),"DAILY_RETURN, IS_TRADING_DAY",monthly,,illiquidity,proportion (0 to 1),speed_stickiness,2,Tick-size robust variant of Lesmond et al. (1999) for Indian markets,"Threshold = 0.0001 (1bp). Accounts for NSE tick sizes (₹0.05, ₹0.10)."
FHT,Fong-Holden-Trzcinka (2017) Spread Estimator,FHT = 2 * σ * Φ^(-1)((1 + z)/2),Effective spread estimate from zero-return frequency and return volatility,DAILY_RETURN,monthly,,illiquidity,percentage (spread as fraction of price),speed_stickiness,2,"Fong, K., Holden, C., & Trzcinka, C. (2017). What are the best liquidity proxies for global research? Review of Finance, 21(4), 1355-1401.","CRITICAL FORMULA COMPONENTS:         - z = proportion of zero returns among trading days (not including NTD)         - σ = standard deviation of NON-zero returns         - Φ^(-1) = inverse normal CDF                  Special cases:         - If z = 0 (no zero returns): Set FHT = 0 (perfectly liquid)         - If z ≥ 0.95: Set FHT = NaN (too degenerate)                  NTD HANDLING:         - If NTD observable: z = zeros / (trading days + NTD)         - If NTD NOT observable: z = zeros / trading days only                  DEGENERACY CHECK:         - Exclude if valid_ratio < 20% OR pct_zeros > 80%         - Common in highly liquid markets (e.g., large-cap Indian stocks)                  THIS IS A SPREAD ESTIMATOR, NOT A ZERO-VOLUME RATIO."
PASTOR,Pastor-Stambaugh (2003) Gamma,r'_{t+1} = θ + φ*r'_t + γ*sign(r'_t)*volume_t + ε; PASTOR = -γ,Return reversal coefficient capturing volume-related price impact,"DAILY_RETURN, MARKET_RETURN, VALUE, VOLUME",monthly,,illiquidity,regression coefficient (dimensionless),price_impact,1,"Pastor, L., & Stambaugh, R. (2003). Liquidity risk and expected stock returns. Journal of Political Economy, 111(3), 642-685.","Regression model:         r'_{i,t+1} = θ + φ*r'_{i,t} + γ*sign(r'_{i,t})*volume_{i,t} + ε_{i,t+1}                  Where:         - r'_{i,t} = excess return = stock return - equal-weighted market return         - sign(r'_{i,t}) = +1, 0, or -1         - volume_{i,t} = we use VALUE (rupee volume) instead of share volume         - γ = price reversal coefficient (more negative = more illiquid)                  DIRECTION: Report -γ so higher value = more illiquid         Require ≥8 observations per month."
AMIVEST,Amivest Liquidity Ratio (Inverted),AMIVEST_ILLIQ = 1 / (sum(VALUE) / sum(|Return|) + ε),Inverted Amivest: measures volume needed per unit price movement (higher = more illiquid),"DAILY_RETURN, VALUE",monthly,sum_ratio_then_invert,illiquidity,inverse rupees per return unit,price_impact,2,"Amihud, Y., & Mendelson, H. (1989). The effects of beta, bid-ask spread, residual risk, and size on stock returns. Journal of Finance, 44(2), 479-486.",TRUE AMIVEST LIQUIDITY = sum(VALUE_d) / sum(|ret_d|) for active trading days         Where active = |ret| > 0 AND VALUE > 0                  This differs from AMIHUD:         - AMIHUD = mean(|ret| / VALUE) - averages RATIOS         - AMIVEST = sum(VALUE) / sum(|ret|) - RATIO of SUMS                  Monthly computation:         1. Sum VALUE across valid days         2. Sum |Return| across same days         3. AMIVEST_LIQ = total_value / total_return         4. AMIVEST_ILLIQ = 1 / (AMIVEST_LIQ + 1e-12)         5. Winsorize monthly values at 1%/99% (NOT daily)                  Requires ≥15 days with |ret| > 0 AND VALUE > 0.                  KEY DIFFERENCE: Not mechanically correlated with AMIHUD due to sum-then-divide vs divide-then-mean.
LOT,Limited Order Turnover (LOT) - Threshold-Based,LOT = (# days with |Return| ≤ 5bp) / (# valid trading days),Proportion of days with no price movement beyond tick size (implicit transaction costs),"DAILY_RETURN, VALUE",monthly,,illiquidity,proportion (0 to 1),speed_stickiness,1,"Lesmond, D., Ogden, J., & Trzcinka, C. (1999). Based on limited dependent variable approach.",Threshold-based (NOT exact zeros):         - LOT = fraction of days where |Return| ≤ 0.0005 (5 basis points)         - Denominator = trading days with VALUE > 0 AND return not NaN         - Threshold chosen to capture tick-constrained trading                  DIFFERS FROM ZERO_RATIO:         - ZERO_RATIO: counts EXACT zeros only         - LOT: counts returns within 5bp threshold                  Correlation with ZERO_RATIO should be 0.70-0.85 (not >0.98)
VOLUME_ILLIQ,Volume Illiquidity (Inverted),VOLUME_ILLIQ = 1 / (1 + mean(Volume)),Inverted average trading volume (higher = lower volume = more illiquid),VOLUME,monthly,mean_then_invert,illiquidity,inverse shares,activity_quantity,2,"Standard volume-based liquidity proxy, inverted","Inversion formula: 1/(1+x) maps [0,∞) → (0,1]         Avoids division by zero.         Higher value = lower volume = more illiquid."
