SYMBOL,avg_illiq,median_illiq,obs_count
RELIANCE,2.413911492730431e-12,1.3585822050494583e-12,3719
INFY,2.5487451059754243e-12,1.6519233567134671e-12,3345
SBIN,2.5635563482282853e-12,1.851893802288201e-12,3719
ICICIBANK,2.8251717570315667e-12,1.8271348902309143e-12,3719
TCS,3.9954608841195396e-12,2.1527951761772637e-12,3719
INFOSYSTCH,4.0136490215627994e-12,3.287417808362546e-12,374
HDFCBANK,4.122749764279007e-12,1.814244487999613e-12,3719
AXISBANK,4.167143243821885e-12,2.3964301882398927e-12,3719
LT,4.390106229233217e-12,3.1789721836706592e-12,3719
TATAMOTORS,4.799413185439081e-12,3.189467993013892e-12,3719
ITC,4.860236170788218e-12,2.9163872012087325e-12,3719
TATASTEEL,5.67137207333026e-12,3.5809422410042214e-12,3719
BHARTIARTL,7.164260579120569e-12,4.118060668154695e-12,3719
MARUTI,8.35486297247139e-12,3.067784163049816e-12,3719
SHRIRAMFIN,8.480892952066247e-12,4.7808942822681374e-12,504
VEDL,8.5383357598049e-12,5.588959021122743e-12,2391
TATACONSUM,8.586930573843675e-12,6.530508220062537e-12,1202
HINDUNILVR,8.781060789651707e-12,4.21460091223801e-12,3719
M&M,8.887486782655542e-12,5.629651491410666e-12,3719
HEROMOTOCO,1.0605748873326368e-11,6.704736625828258e-12,3317
ONGC,1.107911199560414e-11,7.515606332298385e-12,3719
COFORGE,1.116984133773248e-11,7.599652894102175e-12,1084
DRREDDY,1.1500955107850415e-11,6.560577862126544e-12,3719
YESBANK,1.1900012648866509e-11,5.89842415053458e-12,3719
SUNPHARMA,1.2337234587756957e-11,4.898517420305734e-12,3719
MOTHERSON,1.2437694699317002e-11,8.045202954198126e-12,636
HINDALCO,1.2721768030909328e-11,7.645299341406115e-12,3719
DLF,1.2744137621759883e-11,9.246507378073745e-12,3719
HCLTECH,1.321005990022688e-11,5.63920868185542e-12,3719
WIPRO,1.3360274796594092e-11,7.11264205790886e-12,3719
CIPLA,1.46441944371346e-11,8.460264762596434e-12,3719
JSWSTEEL,1.493409533639909e-11,9.547074048326355e-12,3719
KOTAKBANK,1.512428401188504e-11,4.317429305431412e-12,3719
SSLT,1.5688853920906635e-11,1.183785131170991e-11,388
UPL,1.5981983114722416e-11,8.621381661857818e-12,2767
NTPC,1.677380352002422e-11,9.067031869465237e-12,3719
BHEL,1.7742785770970065e-11,1.2187858092597373e-11,3719
BANKBARODA,1.79281969700301e-11,9.031065290184382e-12,3719
JINDALSTEL,1.798201755957199e-11,1.19983767839836e-11,3719
HEROHONDA,1.8203961256881955e-11,1.3758749608738108e-11,402
LUPIN,1.826643023958591e-11,9.72834294764845e-12,3719
LICHSGFIN,1.8360258901321853e-11,1.3042672882427951e-11,3719
BPCL,1.94181790662798e-11,9.092621572192521e-12,3719
PNB,1.9661944034766376e-11,1.0945315391428154e-11,3719
ZYDUSLIFE,1.9785487765173363e-11,1.3068588714991498e-11,700
GAIL,2.0020902143011068e-11,1.1156008597035018e-11,3719
MCDOWELL-N,2.0929986552387527e-11,1.2279277717189122e-11,3578
POWERGRID,2.0930463365150572e-11,8.966047261775247e-12,3719
TITAN,2.162797877914203e-11,8.021109867405216e-12,3719
ARE&M,2.2567808473101674e-11,1.779588759466063e-11,293
ACC,2.4549105455517098e-11,1.5224837149969565e-11,3719
ASIANPAINT,2.602254556587765e-11,6.646947828424974e-12,3719
CANBK,2.6089644828282e-11,1.2974131414176167e-11,3719
ZEEL,2.7569998276783584e-11,1.1318529407212023e-11,3719
ADANIPORTS,2.911315895161851e-11,8.00782298670769e-12,3208
HINDPETRO,2.990887589871581e-11,1.4013309416227737e-11,3719
INDUSINDBK,3.067615288939486e-11,5.777543443909672e-12,3719
RECLTD,3.132107970582059e-11,2.0092976255692462e-11,3719
IDEA,3.152909300139308e-11,1.7650140506974572e-11,3719
AMBUJACEM,3.161421372174765e-11,1.6431300590796404e-11,3719
TECHM,3.225218190932672e-11,7.2583381402659434e-12,3719
ULTRACEMCO,3.4470581120836345e-11,8.968783926868298e-12,3719
TATAPOWER,3.487171280148256e-11,1.7844730480746703e-11,3719
GRASIM,3.5359115230051654e-11,1.446474062517957e-11,3719
ADANIENT,3.7939374239937244e-11,1.636456724699036e-11,3719
IOC,3.797970271350928e-11,1.2147623628821647e-11,3719
SAIL,3.9222413199928964e-11,1.9086916292300153e-11,3719
AUROPHARMA,3.968689926260144e-11,1.11942390761228e-11,3719
SESAGOA,3.9991515445536175e-11,2.3320119193877417e-11,940
PFC,4.08308367531137e-11,2.278934106205285e-11,3719
DIVISLAB,4.19020942227705e-11,1.3882764475261207e-11,3719
ASHOKLEY,4.352659244939204e-11,1.252057635032559e-11,3719
APOLLOTYRE,4.6562224505475884e-11,2.481110732347565e-11,3719
BIOCON,4.745159416091949e-11,1.9498032991210488e-11,3719
DABUR,4.782368728982334e-11,1.6933785920631857e-11,3719
GLENMARK,4.920421564567426e-11,2.4331987953980268e-11,3719
PETRONET,4.987183439562595e-11,2.3987344713597387e-11,3719
SRTRANSFIN,5.003707619535734e-11,1.9881625725634594e-11,3215
SIEMENS,5.0115323093350426e-11,2.5204376373079456e-11,3719
FEDERALBNK,5.154293497662954e-11,1.781019687796372e-11,3719
VOLTAS,5.4351755379103366e-11,1.9835193759706337e-11,3719
BANKINDIA,5.4516044004078414e-11,3.0368617236327696e-11,3719
UNIONBANK,5.578904373841372e-11,3.1548229786133683e-11,3719
MFSL,5.6913515309027207e-11,2.506513822068011e-11,2190
HAVELLS,5.7705089812745105e-11,1.889212021914181e-11,3719
SUNTV,5.783988964721646e-11,2.6060375652169572e-11,3719
EXIDEIND,6.021304760327621e-11,3.190487810607704e-11,3719
MRF,6.036922767447182e-11,2.0462051398369955e-11,3719
BATAINDIA,6.427746667850194e-11,2.5490712919173354e-11,3719
TATACHEM,6.449670138175778e-11,2.6599514296505154e-11,3719
COLPAL,6.592157131992116e-11,2.3327012897301617e-11,3719
TATAGLOBAL,6.679844196446504e-11,3.6502864553892664e-11,2380
BHARATFORG,6.754066450690595e-11,2.029280537592698e-11,3719
CENTURYTEX,6.815076611184855e-11,3.845155983072744e-11,3663
LTFOODS,7.169565965753258e-11,5.492421650824434e-11,287
IGL,7.402663259955308e-11,2.535891324016651e-11,3719
NMDC,7.545385306020974e-11,2.701354425810559e-11,3719
PCBL,7.661410285737667e-11,4.23604517086073e-11,735
KPIL,7.831187113188941e-11,4.821029145714373e-11,391
GMRINFRA,8.186581127435149e-11,4.7175081637740325e-11,3705
