family,model,slug,mae,rmse,mape,smape,r2,directional_accuracy
Classical ML,SVR (Linear kernel),svr_linear,0.0934754964007693,0.1575688910839073,19.520053172663413,9.913499448825595,0.7469899780231726,59.220389805097454
Ensemble/Hybrid,Top-5 Average,ensemble_top5,0.0936792089153766,0.1563296049285672,19.49495538577889,9.922977369859856,0.7509541966698258,59.220389805097454
Ensemble/Hybrid,Top-3 Average,ensemble_top3,0.0940491090345041,0.1565623050015154,19.53160274731408,9.950151394128245,0.75021222449159,59.820089955022496
Classical ML,"ElasticNet (a=0.01, l1=0.5)",elasticnet,0.0948080716841133,0.1565202434913084,19.531299043329323,10.025976749697522,0.7503464207753616,59.820089955022496
Classical ML,Ridge Regression (a=10.0),ridge_alpha10,0.0950103413706161,0.1566877904672584,19.65053477432571,10.021338625828902,0.7498116517377986,60.11994002998501
Classical ML,Ridge Regression (a=1.0),ridge_alpha1,0.0951105610189482,0.1568944747848899,19.666308758001332,10.026327060346036,0.749151177647237,59.97001499250375
Statistical Baselines,arima,arima,0.09513136360871,0.1583769881244091,19.58042096421808,19.58042096421808,0.7443881835983461,59.52023988005997
Statistical Baselines,sarima,sarima,0.09513136360871,0.1583769881244091,19.58042096421808,19.58042096421808,0.7443881835983461,59.52023988005997
Classical ML,Linear Regression,linear_regression,0.0951951175668493,0.1569381209913731,19.678430229286025,10.030896023747069,0.7490115918218265,60.11994002998501
Classical ML,Lasso Regression (a=0.01),lasso_alpha001,0.0952563028899508,0.1577564228971749,19.351739427359984,10.10230786693344,0.7463873760396431,58.47076461769115
Statistical Baselines,ets,ets,0.096761686351636,0.1592436058418344,19.78157451693941,19.78157451693941,0.7415831828313209,59.220389805097454
Statistical Baselines,naive,naive,0.1038269933845588,0.1895394497862043,20.43197599027941,20.43197599027941,0.6339031447895311,0.0
Statistical Baselines,moving_average,moving_average,0.1039852227578281,0.1607358687599351,20.28210025333907,20.28210025333907,0.7367172710017188,59.220389805097454
RNN (LSTM/GRU),"GRU (vanilla, 64u)",gru_vanilla,0.1101420894265174,0.1653996556997299,21.132919192314148,11.485625803470612,0.721217155456543,62.36881559220389
Advanced DL,Transformer (4-head),transformer_4h,0.1140965074300766,0.1690814048051834,21.6741144657135,11.9384765625,0.7086678743362427,60.86956521739131
RNN (LSTM/GRU),"LSTM (vanilla, 64u)",lstm_vanilla,0.1142051517963409,0.168238490819931,20.050083100795742,11.862272024154665,0.7115653157234192,59.67016491754122
Ensemble/Hybrid,Weighted Average (inv-MAE),ensemble_weighted,0.1147614770564083,0.1707639366608395,20.48434340243318,11.596228623644372,0.7028408664241784,58.02098950524738
