model_family,model_name,MAE,RMSE,MAPE,R2,SMAPE,predictions_path
ensemble,Weighted Ensemble (Top-5 Overall),0.0936760234173536,0.1564308932106928,19.49378591041971,0.750631371142763,9.92577009206511,results/predictions/ensemble/weighted_top5_overall_predictions.csv
ml,Ridge(alpha=1.0),0.0951105610189479,0.1568944747848896,19.66630875800128,0.7491511776472379,10.026332916814622,results/predictions/ml/ridge_alpha1_predictions.csv
ml,LinearRegression,0.0951951175668493,0.1569381209913731,19.67843022928599,0.7490115918218267,10.030901879996424,results/predictions/ml/linear_regression_predictions.csv
ensemble,Simple Average Ensemble (Top-3 ML),0.0947554575229168,0.1570277958742653,19.68865123700026,0.7487246789117995,9.996054426866776,results/predictions/ensemble/simple_average_top3_ml_predictions.csv
ml,"SVR(kernel='linear', C=1.0)",0.0941484307421011,0.157565621567849,19.73918007094684,0.7470004777067301,9.950550986283284,results/predictions/ml/svr_linear_predictions.csv
ml,Lasso(alpha=0.01),0.0951061949913072,0.15758704746757,19.37076761831693,0.7469316668722521,10.083549186951013,results/predictions/ml/lasso_alpha001_predictions.csv
statistical,"ARIMA(1, 1, 1)",0.09513136360870998,0.15837698812440912,19.58042096421808,0.7443881835983461,10.113754638768008,results/predictions/statistical/arima_predictions.csv
statistical,"SARIMA(1, 1, 1)x(0, 0, 0, 21)",0.09513136360870998,0.15837698812440912,19.58042096421808,0.7443881835983461,10.113754638768008,results/predictions/statistical/sarima_predictions.csv
ensemble,Stacking Ensemble (Linear Meta-Learner),0.0961192819588548,0.1585189688477646,19.800963516884813,0.7439296798927103,10.177515261879948,results/predictions/ensemble/stacking_linear_top3_base_predictions.csv
statistical,ETS (SimpleExpSmoothing),0.09676193952247097,0.15925335433195975,19.781746539893437,0.7415515426171246,10.255843532113843,results/predictions/statistical/ets_predictions.csv
statistical,Moving Average (7-day),0.10398522275782811,0.16073586875993517,20.28210025333907,0.7367172710017188,10.91417653400099,results/predictions/statistical/moving_average_7d_predictions.csv
statistical,Naive/Persistence,0.10382699338455889,0.18953944978620438,20.431975990279412,0.6339031447895311,11.264714615078306,results/predictions/statistical/naive_predictions.csv
dl_advanced,CNN-LSTM,0.1366177714927743,0.1909399351803122,24.937294440536235,0.6284730616147829,14.302965284546117,results/predictions/dl_advanced/cnn_lstm_predictions.csv
ml,LightGBMRegressor(n_estimators=200),0.1465881130142475,0.2060584280613349,21.927610862483487,0.5673093287089603,14.377655198941715,results/predictions/ml/lightgbm_predictions.csv
dl_advanced,Attention LSTM,0.1508239819894822,0.2124582614270139,28.277590609380955,0.5400146356548624,15.744482964560016,results/predictions/dl_advanced/attention_lstm_predictions.csv
ml,"RandomForestRegressor(n_estimators=200, max_depth=10)",0.1522225173488109,0.2171373121906357,23.015724454062003,0.5195306566522806,14.652490402274088,results/predictions/ml/random_forest_predictions.csv
ml,"XGBoostRegressor(n_estimators=200, learning_rate=0.05)",0.155788763385312,0.2207365396150583,22.85019512302038,0.5034703043446451,15.053328117305734,results/predictions/ml/xgboost_predictions.csv
ml,"SVR(kernel='rbf', C=10, gamma='scale')",0.1846800404585428,0.2880603821455166,24.11218048825732,0.1544022238918214,18.84193473852816,results/predictions/ml/svr_rbf_predictions.csv
dl_advanced,Temporal Transformer,0.2491093092802973,0.3115885501248199,32.61032902615796,0.0106276980490654,24.72880561450124,results/predictions/dl_advanced/temporal_transformer_predictions.csv
dl,"Bidirectional LSTM (64 units, dropout=0.2)",0.3003473842536622,0.3531762435382909,33.586387074277184,-0.2711000421418108,30.84634288813416,results/predictions/dl/bidirectional_lstm_predictions.csv
dl,"GRU (64 units, dropout=0.2)",0.2986413849245364,0.3716585722183254,48.52564364144602,-0.4076188546195487,28.51066075519264,results/predictions/dl/gru_predictions.csv
dl,"LSTM (64 units, dropout=0.2)",0.3612022910130161,0.4255770025245158,37.17853876155663,-0.8456658212710426,37.75781811956151,results/predictions/dl/lstm_predictions.csv
