model,slug,mae,rmse,mape,smape,r2,directional_accuracy
SVR (Linear kernel),svr_linear,0.09347549640076931,0.1575688910839073,19.520053172663413,9.913499448825597,0.7469899780231726,59.220389805097454
"ElasticNet (a=0.01, l1=0.5)",elasticnet,0.09480807168411338,0.1565202434913084,19.531299043329323,10.025976749697522,0.7503464207753616,59.820089955022496
Ridge Regression (a=10.0),ridge_alpha10,0.09501034137061616,0.15668779046725848,19.65053477432571,10.021338625828902,0.7498116517377986,60.11994002998501
Ridge Regression (a=1.0),ridge_alpha1,0.09511056101894827,0.1568944747848899,19.666308758001335,10.026327060346036,0.749151177647237,59.97001499250375
Linear Regression,linear_regression,0.09519511756684938,0.15693812099137316,19.678430229286022,10.030896023747069,0.7490115918218265,60.11994002998501
Lasso Regression (a=0.01),lasso_alpha001,0.09525630288995081,0.15775642289717498,19.351739427359984,10.10230786693344,0.7463873760396431,58.47076461769115
Random Forest (n=200),random_forest,0.14391867819751172,0.2094541674416954,22.61752390909785,13.904044797067849,0.5529307714419085,55.62218890554723
Gradient Boosting (n=200),gradient_boosting,0.14552771084005045,0.2041020392671803,20.725785924225594,14.220121862949128,0.5754865496657202,59.820089955022496
LightGBM (n=300),lightgbm,0.147165015179284,0.21072709698930595,22.259033395405293,14.241902005863155,0.5474802529383072,59.52023988005997
Extra Trees (n=200),extra_trees,0.14863542667154986,0.21411640863295292,22.693862792188224,14.263837352236278,0.5328066333952823,58.17091454272864
XGBoost (n=300),xgboost,0.1647229631390825,0.23139077199249797,22.55842665393921,15.858270852913853,0.45438181421623647,58.620689655172406
SVR (RBF kernel),svr_rbf,0.17693056936776055,0.2768840104657401,24.04357107125284,17.940656236986417,0.2187455201476265,58.77061469265368
KNN (k=5),knn_k5,0.20691557343123645,0.26754269507329564,26.987044503264745,20.572969516249366,0.2705711063279681,57.42128935532234
